Duplas de Medicamentos;;;;;
Medicamento;Interage com;Efeito Clínico;"Grau da
interação";Início de Ação;Recomendação
Aciclovir;Tenofovir;"Tontura; diarréia; vômito; neuropatia";Moderada;Não especificado;"Monitorar aumento dos efeitos tóxicos do tenofovir (tontura; diarréia; neuropatia; vômito)."
Aciclovir;Zidovudina;Letargia e fadiga grave;Moderada;Rápido;Observar a ocorrência de letargia e fadiga.
Ácido épsilon aminocapróico;Tretinoína;"? risco de trombose;";Grave;Não especificado;"Monitorar paciente via hemograma, TAP e TTPA. Monitorar o paciente quanto aos sinais clínicos como  dor no peito, falta de ar, hemoptise, hematúria, perda súbita
da visão, dor, vermelhidão ou inchaço em uma"
Ácido fólico;Capecitabina;Ocorrência de anorexia, ulceração da boca, diarréia com sangue, sangramento vaginal.;Grave;Não especificado;O uso concomitante deve ser evitado.  Os doentes devem ser monitorizados atentamente quanto a toxicidade potencial da capecitabina, como neutropenia, trombocitopenia, estomatite, hemorragia gastrointestinal, diarréia grave, vômito, reações cutâneas, e neuropatia. Monitorar paciente via hemograma.
Amicacina/ Gentamicina;AINEs: Diclofenaco/ Ibuprofeno/ Naproxeno;? ocorrência de nefrotoxicidade;Moderada;Não especificado;Monitorar aumento dos efeitos nefrotóxicos dos aminoglicosídeos (amicacina/gentamicina).
"Amicacina/
Gentamicina";Cefalotina;? ocorrência de nefrotoxicidade;Moderada;"Não
especificado";"Monitorar aumento dos efeitos nefrotóxicos dos
aminoglicosídeos (amicacina/gentamicina)."
Amiodarona;Diltiazem/ Verapamil;Bradcardia, parada sinusal e ? débito cardíaco;Grave;Não especificado;"Considerar modificação da terapia. Monitorar aumento dos efeitos terapêuticos da Amiodarona e sinais de
toxicidade."
Amiodarona;Atazanavir/ Lopinavir/ Ritonavir;Arritmias cardíacas potencialmente letais;Grave;Não especificado;Uso concomitante deve ser evitado.
Medicamento;Interage com;Efeito Clínico;"Grau da
interação";Início de Ação;Recomendação
Amiodarona;"Propranolol/
Metoprolol";"Hipotensão arterial, bradcardia e
parada cardíaca";Grave;"Não
especificado";"Monitorar sinais e sintomas de bradcardia. Monitorar a
pressão arterial. Exceção: Atenolol."
Amiodarona;Ciclosporina;"? efeito terapêutico da ciclosporina
(imunossupressão)";Moderada;"Não
especificado";Considerar modificação na terapia ou ajuste de dose.
Amiodarona;Digoxina;Náusea, vômito e arritmia (toxicidade pela digoxina);Moderada;Demorado;"Considerar modificação da terapia ou redução de um terço da dose da Digoxina. Monitorar efeitos tóxicos
(náusea, vômito e arritmia)."
Amiodarona;Lidocaína;Crises convulsivas;Moderada;"Não
especificado";"Monitorar aumento da toxicidade da Lidocaína
(convulsões)."
Amiodarona;Amitriptilina;Arritmias ventriculares;Grave;Não especificado;Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
Amiodarona;Levofloxacino/ Moxifloxacino;Arritmias ventriculares;Grave;Não especificado;Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
Amiodarona;Claritromicina;Arritmias ventriculares;Grave;Não especificado;Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
Amiodarona;Clorpromazina;Arritmias ventriculares;Grave;Não especificado;Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
