Princípio Ativo;Modo de tomar;Observação
Acetato de Retinol (Vitamina A);Com refeição;Melhor absorção com gorduras
Ácido Acetilsalicílico;Com refeição ou após refeição;Evitar em jejum para evitar irritação gástrica
Alprazolam;Com ou sem alimentos;Pode causar sonolência
Captopril;Em jejum (1h antes ou 2h após refeições);Absorção reduida com alimentos
Cloridrato de Levotiroxina;Jejum, 30–60 minutos antes do café da manhã;Evitar com cálcio, ferro ou leite
Cloridrato de Metformina;Durante ou logo após a refeição principal;Reduz efeitos colaterais gastrointestinais
Cloridrato de Sibutramina;Com refeição;Uso controlado e monitorado (cardiotoxicidade)
Cloridrato de Tansulosina;Com refeição;Reduz hipotensão postural
Cloridrato de Ticlopidina;Com refeição;Prevenir gastrite
Cloridrato de Triexifenidil;Com refeição;Para evitar irritação estomacal
Cloridrato de Tramadol;Com ou sem alimentos;Não misturar com depressores do SNC
Cloridrato de Tioridazina;Com refeição;Evita náuseas
Cloridrato de Trazodona;Com refeição;Aumenta absorção e reduz sedação inicial
Cloridrato de Sertralina;Com ou sem alimentos;Manter sempre o mesmo horário
Cloridrato de Propranolol;Com refeição;Reduz risco de hipoglicemia em diabéticos
Cloridrato de Fluoxetina;Com ou sem alimentos;Efeito pode demorar semanas
Cloridrato de Amitriptilina;À noite, com jantar;Causa sono
Cloridrato de Benazepril;Com ou sem alimentos;Geralmente tomado uma vez ao dia
Cloridrato de Betaxolol;Com alimentos;Reduz desconforto gastrointestinal
Cloridrato de Diltiazem (liberação prolongada);Com refeição;Ingerir inteira, não mastigar
Cloridrato de Fexofenadina;Com água, preferencialmente com refeição;Melhora absorção
Cloridrato de Labetalol;Com alimentos;Evitar consumo excessivo de sal
Cloridrato de Mirtazapina;À noite, com refeição;Aumenta apetite e sono
Cloridrato de Nortriptilina;Com alimentos;Reduz efeitos colaterais anticolinérgicos
Cloridrato de Ondansetrona;Com ou sem alimentos;Antes de quimioterapia ou cirurgia
Cloridrato de Paroxetina;Com alimentos;Evita náuseas
Cloridrato de Prazosina;Com refeição;Evitar primeira dose em jejum (hipotensão)
Cloridrato de Propafenona;Com refeição;Reduz irritação estomacal
Cloridrato de Quetiapina;Com alimentos;Evita hipoglicemia e melhora absorção
Cloridrato de Risperidona;Com ou sem alimentos;Efeito pode variar conforme metabolismo
Cloridrato de Sotalol;Com alimentos;Evitar em jejum para melhor absorção
Cloridrato de Venlafaxina;Com alimentos;Evitar interrupção abrupta
Cloridrato de Ziprasidona;Com alimentos (pelo menos 500 kcal);Aumenta biodisponibilidade
Cloridrato de Zolpidem;Jejum, em jejum absoluto;Efeito rápido, tomar imediatamente antes de dormir
Cloridrato de Tiamina (Vitamina B1);Com ou sem alimentos;Suplemento geralmente seguro
Cloridrato de Piridoxina (Vitamina B6);Com alimentos;Evita náuseas
Cianocobalamina (Vitamina B12);Com alimentos;Pode ser injetável também
Colecalciferol (Vitamina D3);Com refeição contendo gordura;Melhora absorção lipossolúvel
Palmitato de Retinol (Vitamina A);Com refeição;Melhor absorção com gorduras
